adult,belongs_to_collection,budget,genres,homepage,id,imdb_id,original_language,original_title,overview,popularity,poster_path,production_companies,production_countries,release_date,revenue,runtime,spoken_languages,status,tagline,title,video,vote_average,vote_count,keywords,crew,characters,actors
False,"{'id': 10194, 'name': 'Toy Story Collection', 'poster_path': '/7G9915LfUQ2lVfwMEEhDsn3kT4B.jpg', 'backdrop_path': '/9FBwqcd9IRruEDUrTdcaafOMKUq.jpg'}",30000000,"Animation, Comedy, Family",http://toystory.disney.com/toy-story,862,tt0114709,en,Toy Story,"Led by Woody, Andy's toys live happily in his room until Andy's birthday brings Buzz Lightyear onto the scene. Afraid of losing his place in Andy's heart, Woody plots against Buzz. But when circumstances separate Buzz and Woody from their owner, the duo eventually learns to put aside their differences.",21.946943,/rhIRbceoE9lR4veEXuwCC2wARtG.jpg,Pixar Animation Studios,United States of America,1995-10-30,373554033.0,81.0,English,Released,,Toy Story,False,7.7,5415.0,"jealousy, toy, boy, friendship, friends, rivalry, boy next door, new toy, toy comes to life","John Lasseter, Joss Whedon, Andrew Stanton, Joel Cohen, Alec Sokolow, Bonnie Arnold, Ed Catmull, Ralph Guggenheim, Steve Jobs, Lee Unkrich, Ralph Eggleston, Robert Gordon, Mary Helen Leasman, Kim Blanchette, Marilyn McCoppen, Randy Newman, Dale E. Grahn, Robin Cooper, John Lasseter, Pete Docter, Joe Ranft, Patsy Bouge, Norm DeCarlo, Ash Brannon, Randy Newman, Roman Figun, Don Davis, James Flamberg, Mary Beth Smith, Rick Mackay, Susan Bradley, William Reeves, Randy Newman, Andrew Stanton, Pete Docter, Gary Rydstrom, Karen Robert Jackson, Chris Montan, Rich Quade, Michael Berenstein, Colin Brady, Davey Crockett Feiten, Angie Glocka, Rex Grignon, Tom K. Gurney, Jimmy Hayward, Hal T. Hickel, Karen Kiser, Anthony B. LaMolinara, Guionne Leroy, Bud Luckey, Les Major, Glenn McQueen, Mark Oftedal, Jeff Pidgeon, Jeff Pratt, Steve Rabatich, Roger Rose, Steve Segal, Doug Sheppeck, Alan Sperling, Doug Sweetland, David Tart, Ken Willard, Thomas Porter, Mark Thomas Henne, Oren Jacob, Darwyn Peachey, Mitch Prater, Brian M. Rosen, Sharon Calahan, Galyn Susman, William Cone, Shelley Daniels Lekven, Bob Pauley, Bud Luckey, Andrew Stanton, William Cone, Steve Johnson, Dan Haskett, Tom Holloway, Jean Gillmore, Desirée Mourad, Kelly O'Connell, Sonoko Konishi, Ann M. Rockwell, Julie M. McDonald, Robin Lee, Tom Freeman, Ada Cochavi, Dana Mulligan, Deirdre Morrison, Lori Lombardo, Ellen Devine, Lauren Beth Strogoff, Gary Rydstrom, Gary Summers, Tim Holland, Pat Jackson, Tom Myers, J.R. Grubbs, Susan Sanford, Susan Popovic, Dan Engstrom, Ruth Lambert, Mickie McGowan","Woody (voice), Buzz Lightyear (voice), Mr. Potato Head (voice), Slinky Dog (voice), Rex (voice), Hamm (voice), Bo Peep (voice), Andy (voice), Sid (voice), Mrs. Davis (voice), Sergeant (voice), Hannah (voice), TV Announcer (voice)","Tom Hanks, Tim Allen, Don Rickles, Jim Varney, Wallace Shawn, John Ratzenberger, Annie Potts, John Morris, Erik von Detten, Laurie Metcalf, R. Lee Ermey, Sarah Freeman, Penn Jillette"
False,"{'id': 645, 'name': 'James Bond Collection', 'poster_path': '/HORpg5CSkmeQlAolx3bKMrKgfi.jpg', 'backdrop_path': '/6VcVl48kNKvdXOZfJPdarlUGOsk.jpg'}",58000000,"Adventure, Action, Thriller",http://www.mgm.com/view/movie/757/Goldeneye/,710,tt0113189,en,GoldenEye,James Bond must unmask the mysterious head of the Janus Syndicate and prevent the leader from utilizing the GoldenEye weapons system to inflict devastating revenge on Britain.,14.686036,/5c0ovjT41KnYIHYuF4AWsTe3sKh.jpg,"United Artists, Eon Productions","United Kingdom, United States of America",1995-11-16,352194034.0,130.0,"English, Pусский, Español",Released,No limits. No fears. No substitutes.,GoldenEye,False,6.6,1194.0,"cuba, falsely accused, secret identity, computer virus, secret base, secret intelligence service, kgb, satellite, special car, cossack, electromagnetic pulse, time bomb, st. petersburg russia, ejection seat, red army","Martin Campbell, Ian Fleming, Jeffrey Caine, Bruce Feirstein, Barbara Broccoli, Tom Pevsner, Eric Serra, Tina Turner, Phil Meheux, Terry Rawlings, Debbie McWilliams, Peter Lamont, Andrew Ackland-Snow, Kathrin Brunner, Charles Dwight Lee, Michael Ford, Lindy Hemming, Michael G. Wilson, Anthony Waye, Michael France, Michael Boone, Steven Lawrence, Tony Graysmark, Neil Lamont, Pam Dixon, Robert Hathaway, Charles Bodycomb, June Randall, Harvey Harrison, Roger Pearce, Herbert Raditschnig, Tim Wooster, Keith Hamshere, George Whitear, Bill Pochetty, Luigi Bisioli, Steve Foster, Chris Corbould, Mara Bryan, Tim Grover, Peter Musgrave, Michael A. Carter, Graham V. Hartstone, John Hayward, Jim Shields, David John","James Bond, Alec Trevelyan, Natalya Fyodorovna Simonova, Xenia Onatopp, Jack Wade, M, General Arkady Grigorovich Ourumov, Valentin Dmitrovich Zukovsky, Boris Grishenko, Defense Minister Dmitri Mishkin, Q, Miss Moneypenny, Bill Tanner, Caroline, Severnaya Duty Officer, Admiral Chuck Farrell, Computer Store Manager, Irina, Anna, Mig Pilot","Pierce Brosnan, Sean Bean, Izabella Scorupco, Famke Janssen, Joe Don Baker, Judi Dench, Gottfried John, Robbie Coltrane, Alan Cumming, Tchéky Karyo, Desmond Llewelyn, Samantha Bond, Michael Kitchen, Serena Gordon, Simon Kunz, Billy J. Mitchell, Constantine Gregory, Minnie Driver, Michelle Arthur, Ravil Isyanov"
False,"{'id': 43563, 'name': 'Friday Collection', 'poster_path': '/dWh1Fohgx07AEd4vRUwgIj8BYxD.jpg', 'backdrop_path': '/pXszT8ZWGj3fohU9FY0niA0IDEw.jpg'}",3500000,Comedy,http://www.newline.com/properties/friday.html,10634,tt0113118,en,Friday,"Craig and Smokey are two guys in Los Angeles hanging out on their porch on a Friday afternoon, smoking and drinking, looking for something to do.",14.56965,/kkoGT4bnK5oGiNbzGGcXzrXMSxn.jpg,New Line Cinema,United States of America,1995-04-26,28215918.0,91.0,English,Released,A lot can go down between thursday and saturday...,Friday,False,7.0,513.0,"rap music, parent child relationship, rapper, job","F. Gary Gray, DJ Pooh, Ice Cube, Frank Fitzpatrick, Ice Cube","Craig Jones, Smokey, Debbie, Deebo, Mr. Jones, Mrs. Jones, Dana Jones, Joi, Big Worm, Red, Mr. Parker, Ezal, Pastor Clever, Kid #2, China, Black Man at Store, Red's Father, Craps Player","Ice Cube, Chris Tucker, Nia Long, Tom Lister Jr., John Witherspoon, Anna Maria Horsford, Regina King, Paula Jai Parker, Faizon Love, DJ Pooh, Tony Cox, Anthony Johnson, Bernie Mac, Meagan Good, Terri J. Vaughn, F. Gary Gray, Reynaldo Rey, Michael Clarke Duncan"
False,"{'id': 10924, 'name': 'From Dusk Till Dawn Collection', 'poster_path': '/a156nAy5ZTGXlO5wgfvnF26aaDB.jpg', 'backdrop_path': '/oIJQPVy33uxBAu9LMXwjsgHLyxP.jpg'}",19000000,"Horror, Action, Thriller, Crime",http://www.miramax.com/movie/from-dusk-till-dawn/,755,tt0116367,en,From Dusk Till Dawn,"Seth Gecko and his younger brother Richard are on the run after a bloody bank robbery in Texas. They escape across the border into Mexico and will be home-free the next morning, when they pay off the local kingpin. They just have to survive 'from dusk till dawn' at the rendezvous point, which turns out to be a Hell of a strip joint.",15.339153,/ce0d4kM5KxT4x1Oq8JkSuNYevri.jpg,"A Band Apart, Dimension Films, Los Hooligans Productions, Miramax",United States of America,1996-01-19,25836616.0,108.0,"English, Español",Released,One night is all that stands between them and freedom. But it's going to be a hell of a night.,From Dusk Till Dawn,False,6.9,1644.0,"dancing, brother brother relationship, sexual obsession, showdown, sheriff, eroticism, nudity, bank robber, vampire, holy water, siege, stripper, priest, explosion, extreme violence, bank robbery, preacher, hostage situation, crucifix, recreational vehicle, blood spurting, convenience store, female vampire, mexican american border, nightclub entertainer, boa constrictor","Robert Rodriguez, Quentin Tarantino, Quentin Tarantino, Gianni Nunnari, Robert Rodriguez, Lawrence Bender, Graeme Revell, Guillermo Navarro, Robert Rodriguez, Elaine J. Huzzar, Johanna Ray, Cecilia Montiel, Mayne Berke, Felipe Fernández del Paso, Graciela Mazón, Elizabeth Avellan, John Esposito, Robert Kurtzman, Paul Hellerman, Robert Kurtzman, Meir Teper, Dean Beville, Matthew C. Beville, Allan Bromberg, Carrie Cashman, Gloria Cooper, Gloria Cooper, Patrushkha Mierzwa, Scott Curtis, Solange S. Schwalbe, Tom Gerard, Sergio Reyes, Robert Rodriguez, Dana Gustafson, Warren Hamilton Jr., Greg Hedgepath, Patricio A. Libenson, Charles Maynes, John Pospisil, Charles Ewing Smith, William Jacobs, B. Tennyson Sebastian III, Frank Smathers, Mark Ulano, John Bisson, Gill Montie, Ermahn Ospina, Ermahn Ospina, Paul Hellerman, Tamara Smith, Douglas Aarniokoski, Brian Bettwy, Michael Atwell, James C. Beeson, Carlos A. Chavez, Jennifer Flynn, Wendy Jerde, Adam Markey, Pedro V. Suchite, Alex Bogartz, Robert Clark, Larry McCauley, David Shwartz, Chris Carriveau, Kenneth Carriveau, Paul Dowler, Gregg M. Hartman, Jeff Hay, Howard Payne Miller, Michael Whetstone, Colin De Rouin, Adam Lustig, Brian Markey, Martin Milligan, Abigail Sheiner, Jay Beattie, Steve M. Davison, Patrick Yackett, Guillermo Navarro, Alan Cohen, Rick Stribling, Young Vance Cohen, Robert Rodriguez, Joyce Rudolph, Jacqueline Aronson, Mary Kay Jensen, Jillian Kreiner, Craig Braginsky, Antoine Durr, Ken Bondy, Bruce Callahan, Laura Rush, Caylah Eddleblute, Nick Roberts, William Atwell, Taylor A. Cummings, William Atwell, Derek Raser, Luz María Rojas, Lou Ann Quast, David Orr, Daniel Fort, Nathan Hathaway, Lennon Bass Jr., Eric S. Foster, Robert Earl Craft, Steev Beeson, Dawn Todd Curfman, Joshua Winget, Tim Simonec, Dan Wallin, Steven J. Scott, Rochelle Gross, Josh R. Jaggars, Diana Dru Botsford, Jan D. Tys, Thom 'Coach' Ehle","Seth Gecko, Richard Gecko, Jacob Fuller, Kate Fuller, Scott Fuller, Santanico Pandemonium, Border Guard/Chet Pussy/Carlos, Razor Charlie, Sex Machine, Frost, Texas Ranger, Hostage Gloria Hill, FBI Agent, Motel Owner, Newscaster Kelly Houge, Pete Bottoms / Liquor Store Clerk, Titty Twister Guitarist & Vocalist, Titty Twister Saxophonist, Titty Twister Drummer, Blonde Hostage, Red-headed Hostage, Big Emilio, Sex Machine's Buddy, Danny, Manny, Bar Dancer, Bar Dancer, Bar Dancer, Bar Dancer, Monster, Monster, Monster, Monster","George Clooney, Quentin Tarantino, Harvey Keitel, Juliette Lewis, Ernest Liu, Salma Hayek, Cheech Marin, Danny Trejo, Tom Savini, Fred Williamson, Michael Parks, Brenda Hillhouse, John Saxon, Marc Lawrence, Kelly Preston, John Hawkes, Tito Larriva, Peter Atanasoff, Johnny Vatos Hernandez, Aimee Graham, Heidi McNeal, Ernest M. Garcia, Gregory Nicotero, Cristos, Mike Moroff, Tia Texada, Janine Jordae, Ungela Brockman, Michelle Berube, Michael McKay, Jake McKinnon, Walter Phelan, Wayne Toth"
False,"{'id': 439053, 'name': 'Brooklyn Cigar Store Collection', 'poster_path': '/bgiPsYjbjbRFmEeUfYlp8ZDBVJJ.jpg', 'backdrop_path': '/r4Ov7P8OADcOxfpuDujoJl2Cqry.jpg'}",2000000,Comedy,http://miramax.com/movie/blue-in-the-face/,5894,tt0112541,en,Blue in the Face,"Auggie runs a small tobacco shop in Brooklyn, New York. The whole neighborhood comes to visit him to buy cigarettes and have some small talk. During the movie Lou Reed tries to explain why he has to have a cut on his health insurance bill if he keeps smoking and Madonna acts as a Singing Telegram.",11.528147,/qa9yf3OlfXbYBb0af0mpawGB6TI.jpg,"Miramax Films, InterAL",United States of America,1995-09-15,1275000.0,83.0,English,Released,Welcome to the planet Brooklyn.,Blue in the Face,False,6.8,28.0,"smoking, corner shop, cigarette, tobacco, cigar, independent film","Paul Auster, Paul Auster, Wayne Wang, Harvey Keitel, Bob Weinstein, Harvey Weinstein, Peter Newman, Diana Phillips, Hisami Kuroiwa, Francey Grace, John Lurie, Billy Martin, Calvin Weston, Adam Holender, Wayne Wang, Paul Auster, Maysie Hoy, Christopher Tellefsen, Greg Johnson","Auggie Wren, Man with Strange Glasses, Pete Maloney, Dot, Waffle eater, Tommy Finelli, Jerry, Singing Telegram, Young lady, Jackie Robinson, Vinnie, Bob, Jimmy Rose, Violet, Watch Man, Saxophone player, Dennis, Purse snatcher, Sue the waitress, Dancer","Harvey Keitel, Lou Reed, Michael J. Fox, Roseanne Barr, Lily Tomlin, Giancarlo Esposito, José Zúñiga, Madonna, Mira Sorvino, Keith David, Victor Argo, Jim Jarmusch, Jared Harris, Mel Gorham, Malik Yoba, John Lurie, Stephen Gevedon, Sharif Rashed, Peggy Gormley, RuPaul"
False,"{'id': 286162, 'name': 'Power Rangers Collection', 'poster_path': '/zyHCzQUkgaemgCMEplqAqsp83SA.jpg', 'backdrop_path': '/ddGPthtIvNM2f8qBAyxa5GSKskK.jpg'}",15000000,"Action, Adventure, Science Fiction, Family, Fantasy",http://www.powerrangers.com/,9070,tt0113820,en,Mighty Morphin Power Rangers: The Movie,"Power up with six incredible teens who out-maneuver and defeat evil everywhere as the Mighty Morphin Power Ranger, But this time the Power Rangers may have met their match, when they face off with the most sinister monster the galaxy has ever seen.",7.024227,/A3ijhraMN0tvpDnPoyVP7NulkSr.jpg,"Twentieth Century Fox Film Corporation, Saban Entertainment, Toei Company","Japan, United States of America",1995-06-30,66000000.0,92.0,English,Released,The Power Is On!,Mighty Morphin Power Rangers: The Movie,False,5.2,153.0,"based on tv series, tokusatsu, superhero team, ethnic diversity, super sentai, power rangers, mighty morphin power rangers, mmpr","Suzanne Todd, Graeme Revell, Wayne Wahrman, Joseph A. Porro, Craig Stearns, David Coatsworth, Shuki Levy, John Kamps, Arne Olsen, Haim Saban, Paul Murphy, Bryan Spicer, Colin Gibson, Tim Ferrier, Warren Beaton","Kimberly Hart / Pink Ranger, Tommy Oliver / White Ranger, Billy Cranston / Blue Ranger, Adam Park / Black Ranger, Rocky DeSantos / Red Ranger, Aisha Campbell / Yellow Ranger, Farkas ""Bulk"" Bulkmeier, Eugene 'Skull' Skullovitch, Ivan Ooze, Dulcea, Fred Kelman, Mr. Kelman","Amy Jo Johnson, Jason David Frank, David Yost, Johnny Yong Bosch, Steve Cardenas, Karan Ashley, Paul Schrier, Jason Narvy, Paul Freeman, Gabrielle Fitzpatrick, Jamie Croft, Peter Mochrie"
False,"{'id': 182813, 'name': 'Clerks Collection', 'poster_path': '/qEjGvJ9I2ak6ENjdJ23dfjqLkAK.jpg', 'backdrop_path': '/6Fjkbh2DVAvVZa3c1HamblAN5Bg.jpg'}",27000,Comedy,http://www.miramax.com/movie/clerks/,2292,tt0109445,en,Clerks,"Convenience and video store clerks Dante and Randal are sharp-witted, potty-mouthed and bored out of their minds. So in between needling customers, the counter jockeys play hockey on the roof, visit a funeral home and deal with their love lives.",10.513367,/dmNytzvQTjylI83qrgDoS1KQ0ev.jpg,"Miramax Films, View Askew Productions",United States of America,1994-09-13,3151130.0,92.0,English,Released,Just because they serve you doesn't mean they like you.,Clerks,False,7.4,769.0,"salesclerk, loser, aftercreditsstinger","Kevin Smith, Kevin Smith, Kevin Smith, Kevin Smith, Scott Mosier, David Klein, Benji Gordon","Dante Hicks, Randal Graves, Jay, Silent Bob, Caitlin Bree, Veronica Loughran, Willam Black/Angry Hockey Playing Customer/Angry Mourner, Woolen Cap Smoker/Egg Man/Offended Customer/Cat Admiring Bitter Customer, Chewlie's Rep, Hunting Cap Smoking Boy/Low I.Q. Video Customer/Hubcap Searching Customer/Angry Mourner/Angry Crowd at Door, Sanford/Angry Mourner, Coroner, Olaf Oleeson, Heather Jones, Milk Lady","Brian O'Halloran, Jeff Anderson, Jason Mewes, Kevin Smith, Lisa Spoonhauer, Marilyn Ghigliotti, Scott Mosier, Walt Flanagan, Scott Schiaffo, David Klein, Ed Hapstak, Pattijean Csik, John Henry Westhead, Kimberly Loughran, Grace Smith"
False,"{'id': 10, 'name': 'Star Wars Collection', 'poster_path': '/ghd5zOQnDaDW1mxO7R5fXXpZMu.jpg', 'backdrop_path': '/d8duYyyC9J5T825Hg7grmaabfxQ.jpg'}",11000000,"Adventure, Action, Science Fiction",http://www.starwars.com/films/star-wars-episode-iv-a-new-hope,11,tt0076759,en,Star Wars,Princess Leia is captured and held hostage by the evil Imperial forces in their effort to take over the galactic Empire. Venturesome Luke Skywalker and dashing captain Han Solo team together with the loveable robot duo R2-D2 and C-3PO to rescue the beautiful princess and restore peace and justice in the Empire.,42.149697,/btTdmkgIvOi0FFip1sPuZI2oQG6.jpg,"Lucasfilm, Twentieth Century Fox Film Corporation",United States of America,1977-05-25,775398007.0,121.0,English,Released,"A long time ago in a galaxy far, far away...",Star Wars,False,8.1,6778.0,"android, galaxy, hermit, death star, lightsaber, jedi, rescue mission, empire, rebellion, planet, smuggler, the force, space opera, galactic war, stormtrooper, totalitarianism","George Lucas, George Lucas, George Lucas, Gary Kurtz, Rick McCallum, John Williams, Gilbert Taylor, Vic Ramos, Irene Lamb, Norman Reynolds, Marcia Lucas, Dianne Crittenden, Roger Christian, Leslie Dilley, John Mollo, Phil Tippett, Richard Chew, Paul Hirsch, John Barry, Paul Huston","Luke Skywalker, Han Solo, Princess Leia Organa, Grand Moff Tarkin, Obi-Wan ""Ben"" Kenobi, See Threepio (C-3PO), Artoo-Detoo (R2-D2), Chewbacca, Darth Vader, Voice of Darth Vader (voice), Uncle Owen, Aunt Beru, Chief Jawa, General Willard, Red Two (Wedge), Red Three (Biggs), General Taggi, Commander #1, General Motti, Stormtrooper, General Dodonna, Red Leader, Red Four (John ""D""), Red Six (Porkins), Gold Leader, Gold Two, Gold Five, Red Two (voice) (uncredited), Boba Fett (special edition) (uncredited), Stormtrooper (voice) (uncredited), Stormtrooper (uncredited), Cantina Alien (uncredited), Cantina Alien (uncredited), Greedo (uncredited), Nabrun Leids (uncredited), Wuher (uncredited), Drifter (Red 12) (uncredited), Cantina Patron (uncredited), Stormtrooper (uncredited), Wioslea (uncredited), Dr. Evazan (uncredited), Cantina Patron (uncredited), Greedo (uncredited), Hrchek Kal Fas (uncredited), Jawa (uncredited), Stormtrooper / Tusken Raider / Death Star Trooper / Garouf Lafoe (uncredited), Jawa (uncredited), Garindan (uncredited), Djas Puhr (uncredited), Death Star Trooper (uncredited), Stormtrooper with Binoculars (uncredited), Cantina Patron (uncredited), Death Star Trooper (uncredited), Kabe (uncredited), Kabe / Jawa / GONK Droid (uncredited), Cantina Patron (uncredited), Stormtrooper (special edition) (uncredited), Stormtrooper (uncredited), Leia's Rebel Escort (uncredited), Stormtrooper (uncredited), Brea Tonnika (uncredited), Stormtrooper (uncredited), Ponda Baba (uncredited), Death Star Trooper (uncredited), Mosep (uncredited), Chall Bekan (uncredited), Solomohal (uncredited), Stormtrooper (voice) (uncredited), Jawa (uncredited), Jawa (uncredited), Daine Jir (uncredited), BoShek (uncredited), Muftak / Cantina Band Member (uncredited), Temple Guard / Medal Bearer (uncredited), Jawa (uncredited), Takeel (uncredited), Stormtrooper (special edition) (uncredited), Death Star Gunner (uncredited), Cantina Patron (uncredited), Swilla Corey (uncredited), Massassi Base Rebel Scout (uncredited), Rycar Ryjerd (uncredited), InCom Engineer (uncredited), Leesub Sirln (uncredited), Cmdr. Praji (Imperial Officer #2 on rebel ship) (uncredited), Tawss Khaa (uncredited), Senni Tonnika (uncredited), Cantina Patron (uncredited), Cantina Patron (uncredited), Sai'torr Kal Fas (uncredited), Lt. Pol Treidum (uncredited), Cantina Voices (voice) (uncredited), Massassi Outpost Announcer / Various Voices (voice) (uncredited), Lt. Shann Childsen (uncredited), Cantina Alien (uncredited), Del Goren (uncredited), Stormtrooper (voice) (uncredited), Stormtrooper (voice) (uncredited), Jawa (uncredited), Greedo (voice) (uncredited), Thuku (uncredited), Ketwol / Melas (uncredited), Stormtrooper (uncredited), Mos Eisley Citizen (special edition) (uncredited), Cantina Patron (uncredited), Rebel Pilot (uncredited)","Mark Hamill, Harrison Ford, Carrie Fisher, Peter Cushing, Alec Guinness, Anthony Daniels, Kenny Baker, Peter Mayhew, David Prowse, James Earl Jones, Phil Brown, Shelagh Fraser, Jack Purvis, Eddie Byrne, Denis Lawson, Garrick Hagon, Don Henderson, Leslie Schofield, Richard LeParmentier, Michael Leader, Alex McCrindle, Drewe Henley, Jack Klaff, William Hootkins, Angus MacInnes, Jeremy Sinden, Graham Ashley, David Ankrum, Mark Austin, Scott Beach, Lightning Bear, Jon Berg, Doug Beswick, Paul Blake, Janice Burchette, Ted Burnett, John Chapman, Gilda Cohen, Tim Condren, Barry Copping, Alfie Curtis, Robert Davies, Maria De Aragon, Robert A. Denham, Frazer Diamond, Peter Diamond, Warwick Diamond, Sadie Eden, Kim Falkinburg, Harry Fielder, Ted Gagliano, Salo Gardner, Steve Gawley, Barry Gnome, Rusty Goffe, Isaac Grand, Nelson Hall, Reg Harding, Alan Harris, Frank Henson, Christine Hewett, Arthur Howell, Tommy Ilsley, Joe Johnston, Annette Jones, Linda Jones, Joe Kaye, Colin Michael Kitchens, Melissa Kurtz, Tiffany L. Kurtz, Al Lampert, Anthony Lang, Laine Liska, Derek Lyons, Mahjoub, Alf Mangan, Rick McCallum, Grant McCune, Geoffrey Moon, Mandy Morton, Lorne Peterson, Marcus Powell, Shane Rimmer, Pam Rose, George Roubicek, Erica Simmons, Angela Staines, George Stock, Roy Straite, Peter Sturgeon, Peter Sumner, John Sylla, Tom Sylla, Malcolm Tierney, Phil Tippett, Burnell Tucker, Morgan Upton, Jerry Walter, Hal Wamsley, Larry Ward, Diana Sadley Way, Harold Weed, Bill Weston, Steve 'Spaz' Williams, Fred Wood, Colin Higgins"
False,"{'id': 144200, 'name': 'Swan Princess Series', 'poster_path': '/3qBPAUFUMOOT9KqUEYXWAKy93Ge.jpg', 'backdrop_path': '/wxKt5KHvMYUSLHvyPf2xj64y3dJ.jpg'}",35000000,Animation,http://www.sonypictures.com/movies/theswanprincess/,22586,tt0111333,en,The Swan Princess,"The beautiful princess Odette is transformed into a swan by an evil sorcerer's spell. Held captive at an enchanted lake, she befriends Jean-Bob the frog, Speed the turtle and Puffin the bird. Despite their struggle to keep the princess safe, these good-natured creatures can do nothing about the sorcerer's spell, which can only be broken by a vow of everlasting love.",8.910462,/oYp2bckWNBKOIbznjAfypVoMOFl.jpg,Rich Animation Studios,United States of America,1994-11-18,9771658.0,89.0,English,Released,An enchanting classic destined to capture your heart and free your spirit.,The Swan Princess,False,6.5,251.0,"princess, swan","Mark Henley, Rick Alexander, Lex de Azevedo, Lex de Azevedo, Lex de Azevedo, Tara Jayne Rubin, Elizabeth Marx, Steven Wilzbach, James Koford, James Koford, Armetta Jackson-Hamlett, Armetta Jackson-Hamlett, Richard Rich, Richard Rich, Douglas M. Lackey, Steven E. Gordon, Steven E. Gordon, Steven E. Gordon, Steven E. Gordon, Brian Nissen, Brian Nissen, Richard Stewart, Jim Coleman, Tom Ellery, Thomas J. Tobin, Todd Waterman, Kevin Harkey, Bruce Woodside, Bruce Woodside, Dan Haskett, Matt Mazer, Ralph Migliori, Patricia Peck, Joe Campana, Paul Murphy, Geoffrey Johnson, Vincent Liff, Andy D'Addario, Joseph T. Sabella, James Bolt, Dale E. Grahn, Bingo Ferguson, Paul Holzborn, Jared F. Brown, Jared F. Brown, Seldon O. Young, Roy Meurin, Gary Perkovac, Terry L. Noss, Peter Gullerud, David Zippel, Mike Hodgson, Mike Hodgson, John Dorman, Chrystal Klabunde, Rick Farmiloe, Daniel Boulos, Dan Wagner, Colm Duggan, Nasos Vakalis, Juliana Korsborn, Donnachada Daly, Brett Hayden, Richmond Horine, Geoffrey Schroeder, Bret Taylor Babos, Gregory Daven, Randy Paton, Larry Bastian, Larry Schwartz, Therese A. Alexus, Daniel Bunn, David Link, Bess Hopper, Jean Claire Glanville","Princess Odette (voice), Lord Rothbart (voice), Prince Derek (voice), Jean-Bob (voice), Mr. Lorenzo ""Speed"" Trudgealong (voice), Lieutenant Puffin (voice), Lord Rogers (voice), Chamberlain (voice), Bromley (voice), King William (voice), Queen Uberta (voice), Narrator (voice), Young Derek (voice)","Michelle Nicastro, Jack Palance, Howard McGillin, John Cleese, Steven Wright, Steve Vinovich, Mark Harelik, James Arrington, Joel McKinnon Miller, Dakin Matthews, Sandy Duncan, Brian Nissen, Adam Wylie"
False,"{'id': 94032, 'name': 'The Lion King Collection', 'poster_path': '/oG1heUs503GV6xBnFhgyYTGWm05.jpg', 'backdrop_path': '/A9IEaj9cPAwEgFnTmteB70oxgJY.jpg'}",45000000,"Family, Animation, Drama",http://movies.disney.com/the-lion-king,8587,tt0110357,en,The Lion King,A young lion cub named Simba can't wait to be king. But his uncle craves the title for himself and will stop at nothing to get it.,21.605761,/bKPtXn9n4M4s8vvZrbw40mYsefB.jpg,"Walt Disney Pictures, Walt Disney Feature Animation",United States of America,1994-06-23,788241776.0,89.0,English,Released,Life's greatest adventure is finding your place in the Circle of Life.,The Lion King,False,8.0,5520.0,"loss of parents, wild boar, uncle, shaman, redemption, king, scar, hyena, meerkat","Mark A. Mangini, Hans Zimmer, Richard L. Anderson, John Carnochan, Jonathan Roberts, Roger Allers, Elton John, Rob Minkoff, Linda Woolverton, Tom Finan, Irene Mecchi, Ivan Bilancio, Andreas Deja, Chris Sanders, Tim Rice, David J. Hudson, Mel Metcalfe, Terry Porter, Adam Milo Smalley, Craig Sost, Rick Maki, Tim Allen, Anthony DeRosa, Jennifer Yuan, Rick Moore, James Baxter, Larry White, Carl Canga, Alex Kupershmidt, David Pruiksma, Mike Surrey, Ellen Woodbury, Brian Chavanne, James Christopher, Andrew Gaskill","Young Simba (voice), Adult Simba (voice), King Mufasa (voice), Scar (voice), Adult Nala (voice), Young Nala (voice), Pumbaa (voice), Timon (voice), Rafiki (voice), Zazu the Hornbill (voice), Shenzi the Hyena (voice), Banzai the Hyena (voice), ED the Hyena (voice), Sarabi, Simba's Mother (voice), Adult Simba (singing voice), Young Simba (singing voice), Adult Nala (singing voice), Young Nala (singing voice), Sarafina, Nala's Mother (voice), Lion Roars (voice), Additional Voices (voice) (uncredited), Additional Voices (voice) (uncredited), Additional Voices (voice) (uncredited), Additional Voices (voice) (uncredited), Additional Voices (voice) (uncredited), Additional Voices (voice) (uncredited), Young Simba - in 'Morning Report' (singing voice) (uncredited), Fighting Hyena (voice) (uncredited)","Jonathan Taylor Thomas, Matthew Broderick, James Earl Jones, Jeremy Irons, Moira Kelly, Niketa Calame, Ernie Sabella, Nathan Lane, Robert Guillaume, Rowan Atkinson, Whoopi Goldberg, Cheech Marin, Jim Cummings, Madge Sinclair, Joseph Williams, Jason Weaver, Sally Dworsky, Laura Williams, Zoe Leader, Frank Welker, Judi M. Durand, Daamen J. Krall, David McCharen, Mary Linda Phillips, Phil Proctor, David J. Randolph, Evan Saucedo, Brian Tochi"
